"name";"platforms";"totalVisits";"trafficGrowth30";"trafficGrowth60";"trafficGrowth90";"commission";"status";"affiliation";"epc";"conversionRate";"refund_rate";"cb_gravity";"cb_score";"bounceRate"
"LipoBliss Including Checkout Event Tracking";"BuyGoods, GuruMedia";"13342";"-62.3%";"1712.4%";"1424.9%";"$190";"growing";"";"$3.54";"2.43%";"0.00%";"";"";"77.1%"
"Gluco6";"BuyGoods, ClicksAdv";"59767";"-12.2%";"-3.3%";"117.2%";"$110";"growing";"";"$3.00";"2.10%";"8.85%";"";"";"52.8%"
"Nerve Fresh";"ClickBank, BuyGoods, ClicksAdv";"56921";"85.6%";"14.1%";"-12.0%";"$138.92";"growing";"";"$3.00";"2.71%";"20.15%";"14.77";"235.56";"68.7%"
"Balmorex";"BuyGoods, MaxWeb, ClicksAdv";"3412";"-70.8%";"-14.4%";"-40.7%";"$125";"growing";"";"$3.00";"2.41%";"0.00%";"";"";"36.7%"
"FlexiEase";"BuyGoods, BuyGoods, BuyGoods, BuyGoods, GuruMedia, GuruMedia, ClicksAdv, ClicksAdv, ClicksAdv";"13524";"-23.7%";"83.0%";"309.9%";"$127";"growing";"";"$2.75";"1.65%";"0.00%";"";"";"87.9%"
"Respilean MW";"BuyGoods, MaxWeb, ClicksAdv";"2324";"15.8%";"-88.1%";"3.2%";"$115";"growing";"";"$2.70";"2.50%";"8.93%";"";"";"92.0%"
"Steel Flow Pro";"BuyGoods, MaxWeb, ClicksAdv";"3445";"-28.6%";"-33.0%";"452.7%";"$120";"growing";"";"$2.68";"2.05%";"14.85%";"";"";"29.2%"
"LipoTrine";"BuyGoods";"27741";"92.7%";"";"";"$150";"growing";"";"$2.54";"1.76%";"7.79%";"";"";"69.8%"
"CogniCarePro";"ClickBank, BuyGoods, ClicksAdv";"6703";"-12.4%";"-43.3%";"25.3%";"$161.53";"growing";"";"$2.40";"1.90%";"12.17%";"10.88";"215.55";"74.7%"
"Glycovit";"BuyGoods";"24109";"";"";"";"$170";"growing";"";"$2.13";"1.65%";"10.33%";"";"";"57.7%"
"Ignitra";"ClickBank, BuyGoods, MaxWeb, GuruMedia, ClicksAdv";"25753";"-34.8%";"-23.1%";"39.4%";"$181.87";"growing";"";"$2.00";"1.79%";"0.00%";"10.79";"266.99";"78.3%"
"VigoSurge";"BuyGoods, MaxWeb";"2711";"30.6%";"-44.2%";"15.4%";"$120";"growing";"";"$2.00";"1.45%";"27.35%";"";"";"48.2%"
"7 Days to Drink Less";"ClickBank, Digistore24, BuyGoods";"596";"7.6%";"-44.3%";"82.3%";"$112";"growing";"";"$1.90";"1.22%";"21.18%";"0.36";"25.05";"84.4%"
"NailsCleanPro";"BuyGoods";"11365";"2962.3%";"";"";"$150";"growing";"";"$1.58";"0.96%";"0.00%";"";"";"73.4%"
"Keravita Pro";"BuyGoods, MaxWeb, MaxWeb, MediaScalers";"2471";"18.5%";"38.4%";"707.5%";"$105";"growing";"";"$1.34";"1.92%";"7.86%";"";"";"54.0%"
"Jellytide";"BuyGoods, GuruMedia";"136632";"";"";"";"$200";"growing";"";"$1.13";"0.59%";"15.65%";"";"";"74.6%"
"VisiPure";"BuyGoods, GuruMedia, ClicksAdv";"5230";"282.0%";"632.7%";"594.3%";"$100";"growing";"";"$1.11";"1.31%";"59.05%";"";"";"30.6%"
"Infinite Energy System";"BuyGoods";"109";"18.5%";"";"-10.7%";"$50";"growing";"";"$1.08";"1.20%";"2.09%";"";"";"100.0%"
